id,name,products
CSF0000000015,润中***股*公司,"消闲用品-自行车,轮胎与橡胶-轮胎,商业服务-综合支持服务,保险-财产与意外伤害保险-机动车辆险,石油与天然气"
CSF0000000016,开达集**公司,"轮胎与橡胶,建筑、农用机械与重型卡车-工程机械,石油与天然气-石油与天然气的炼制和营销"
CSF0000000017,宝*国***股）*公司,消闲用品
CSF0000000018,茂**际*股*公司,消闲用品
CSF0000000019,新疆**节**溉*份*公司,"轮胎与橡胶-轮胎,商业服务-综合支持服务-维护服务-交通工具维护服务,建筑、农用机械与重型卡车"
CSF0000000020,阳光*源***公司,"建筑、农用机械与重型卡车-农业机械-农机具及其零部件,汽车"
CSF0000000021,亚洲***中**控公司,"保险-财产与意外伤害保险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油,轮胎与橡胶-轮胎"
CSF0000000022,宏*集*有公司,"汽车,化工商品贸易-化工产品贸易-橡塑制品贸易,建筑、农用机械与重型卡车-环卫机械-环卫车,轮胎与橡胶-轮胎-半钢子午线轮胎"
CSF0000000023,东岳*团*公司,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆
CSF0000000024,中国***份*公司,"商业服务-综合支持服务-维护服务-交通工具维护服务,化工商品贸易-化工产品贸易-橡塑制品贸易,轮胎与橡胶-轮胎"
CSF0000000025,中国****矿*有公司,"建筑、农用机械与重型卡车,商业服务-综合支持服务-加工劳务,商品化工-橡胶-合成橡胶-顺丁橡胶,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务"
CSF0000000026,华厦置**公司,"商品化工-橡胶-合成橡胶,建筑、农用机械与重型卡车,建筑、农用机械与重型卡车,建筑、农用机械与重型卡车-工程机械"
CSF0000000027,川**团有公司,"汽车-摩托车制造-二轮摩托车,建筑、农用机械与重型卡车-工程机械,建筑、农用机械与重型卡车,建筑、农用机械与重型卡车-工程机械-混凝土机械"
CSF0000000028,中**信*份*公司,"轮胎与橡胶-轮胎-全钢子午线轮胎,轮胎与橡胶,轮胎与橡胶-轮胎,建筑、农用机械与重型卡车-农业机械-农机具及其零部件"
CSF0000000029,金**际*件*团*公司,"商业服务-综合支持服务,消闲用品,建筑、农用机械与重型卡车-农业机械,商业服务,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆"
CSF0000000030,新*光*集***有公司,"商业服务-综合支持服务-加工劳务-轮胎分装,轮胎与橡胶"
CSF0000000031,首***发展股**公司,"轮胎与橡胶-轮胎,轮胎与橡胶-轮胎"
CSF0000000032,中国再****际*公司,"化工商品贸易-化工产品贸易,商业服务-综合支持服务-维护服务,石油与天然气-石油与天然气的炼制和营销-石油炼制产品,轮胎与橡胶-轮胎-半钢子午线轮胎"
CSF0000000033,辉**技*控股**公司,"轮胎与橡胶-轮胎,建筑、农用机械与重型卡车,轮胎与橡胶,建筑、农用机械与重型卡车-工程机械"
CSF0000000034,新**汽***控股*公司,"建筑、农用机械与重型卡车,石油与天然气-石油与天然气的炼制和营销"
CSF0000000035,中国**济**有公司,"汽车-摩托车制造,石油与天然气-石油与天然气的炼制和营销,建筑、农用机械与重型卡车-农业机械"
CSF0000000036,信达**控**公司,"轮胎与橡胶,建筑、农用机械与重型卡车-环卫机械"
CSF0000000037,宝业集****公司,汽车-摩托车制造
CSF0000000038,协合*能*集**公司,"建筑、农用机械与重型卡车,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-收割机,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油,轮胎与橡胶-轮胎-半钢子午线轮胎,汽车"
CSF0000000039,国*零**股*公司,"化工商品贸易-化工产品贸易,建筑、农用机械与重型卡车-工程机械-起重装卸机械,轮胎与橡胶-轮胎,建筑、农用机械与重型卡车"
CSF0000000040,联*能***有公司,"建筑、农用机械与重型卡车,轮胎与橡胶-轮胎-特种轮胎,汽车-摩托车制造,化工商品贸易-化工产品贸易-橡塑制品贸易"
CSF0000000041,新丝**旅*公司,"建筑、农用机械与重型卡车,建筑、农用机械与重型卡车-机场服务设备,保险-财产与意外伤害保险-机动车辆险,商业服务-综合支持服务,建筑、农用机械与重型卡车"
CSF0000000042,上**大房地**公司,"机动车贸易,商业服务-综合支持服务,轮胎与橡胶,建筑、农用机械与重型卡车-农业机械-农机具及其零部件"
CSF0000000043,奥**团*股*公司,"轮胎与橡胶-轮胎,商业服务-综合支持服务-维护服务"
CSF0000000044,添**业**（集团**公司,"建筑、农用机械与重型卡车-农业机械-农机具及其零部件-收割机,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油,商业服务-综合支持服务-加工劳务-轮胎分装,化工商品贸易-化工产品贸易"
CSF0000000045,安**控*有公司,"商业服务-综合支持服务-加工劳务,机动车贸易,保险,建筑、农用机械与重型卡车-工程机械-筑养路机械,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆"
CSF0000000046,联想**有公司,"轮胎与橡胶,机动车贸易,汽车-摩托车制造-二轮摩托车,建筑、农用机械与重型卡车,商业服务-综合支持服务-加工劳务-轮胎分装"
CSF0000000047,华融***融控**公司,"商品化工-橡胶,建筑、农用机械与重型卡车,建筑、农用机械与重型卡车,建筑、农用机械与重型卡车,建筑、农用机械与重型卡车"
CSF0000000048,东亚**有公司,"石油与天然气-石油与天然气的炼制和营销,轮胎与橡胶,机动车贸易-汽车贸易"
CSF0000000049,中**天国**股*公司,石油与天然气
CSF0000000050,恒*兆*地**公司,"建筑、农用机械与重型卡车,轮胎与橡胶-轮胎-半钢子午线轮胎,建筑、农用机械与重型卡车-工程机械-筑养路机械"
CSF0000000051,波司*国*控**公司,"轮胎与橡胶,轮胎与橡胶-轮胎-全钢子午线轮胎,汽车-摩托车制造,建筑、农用机械与重型卡车,建筑、农用机械与重型卡车-工程机械-筑养路机械"
CSF0000000052,大**品**洲）*公司,"商业服务,建筑、农用机械与重型卡车-工程机械,建筑、农用机械与重型卡车-重卡及专用车"
CSF0000000053,新疆**矿**份*公司,"商品化工-橡胶-合成橡胶-顺丁橡胶,轮胎与橡胶,建筑、农用机械与重型卡车,机动车贸易,建筑、农用机械与重型卡车-农业机械-农机具及其零部件"
CSF0000000054,金**件有公司,"建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,机动车贸易-汽车贸易"
CSF0000000055,保*协*能*控**公司,"商品化工-橡胶-合成橡胶,建筑、农用机械与重型卡车-农业机械-农机具及其零部件"
CSF0000000056,中*动*（**）*公司,"建筑、农用机械与重型卡车-农业机械-农机具及其零部件-收割机,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,建筑、农用机械与重型卡车-港口机械,轮胎与橡胶-轮胎-特种轮胎"
CSF0000000057,上****市开发*团*公司,建筑、农用机械与重型卡车-重卡及专用车
CSF0000000058,国*集*控**公司,"汽车-汽车制造,轮胎与橡胶-轮胎,建筑、农用机械与重型卡车"
CSF0000000059,北控***团*公司,"轮胎与橡胶,轮胎与橡胶-轮胎-工程轮胎,石油与天然气-石油与天然气的炼制和营销-石油炼制产品,保险-财产与意外伤害保险,汽车"
CSF0000000060,新鸿****展有公司,建筑、农用机械与重型卡车
CSF0000000061,阜丰**有公司,消闲用品
CSF0000000062,吉林奇*化****公司,"化工商品贸易,建筑、农用机械与重型卡车,建筑、农用机械与重型卡车-农业机械,汽车-摩托车制造,商业服务-综合支持服务"
CSF0000000063,中**气*股*公司,"轮胎与橡胶-轮胎,建筑、农用机械与重型卡车,轮胎与橡胶-轮胎,建筑、农用机械与重型卡车-工程机械-混凝土机械"
CSF0000000064,香**易*结算**公司,"建筑、农用机械与重型卡车-工程机械-工业车辆,轮胎与橡胶"
CSF0000000065,北*控股*公司,"汽车-摩托车制造,建筑、农用机械与重型卡车-机场服务设备,建筑、农用机械与重型卡车-工程机械,汽车-汽车制造"
CSF0000000066,旭**业有公司,轮胎与橡胶-轮胎
CSF0000000067,白马*外***公司,"商业服务,消闲用品"
CSF0000000068,北*资***股）*公司,"建筑、农用机械与重型卡车-农业机械,汽车,消闲用品-自行车,商业服务"
CSF0000000069,深**股有公司,"保险,保险-财产与意外伤害保险-机动车辆险,轮胎与橡胶-轮胎-半钢子午线轮胎"
CSF0000000070,中**油**有公司,"汽车-摩托车制造,保险,机动车贸易"
CSF0000000071,丰盛**有公司,轮胎与橡胶
CSF0000000072,鹰君集**公司,汽车
CSF0000000073,大***集*有公司,"汽车,汽车,商品化工-橡胶,轮胎与橡胶-轮胎"
CSF0000000074,中国**化集**公司,"商业服务-综合支持服务-加工劳务-轮胎分装,保险-财产与意外伤害保险,石油与天然气-石油与天然气的炼制和营销,建筑、农用机械与重型卡车"
CSF0000000075,丰**控*有公司,"汽车,保险"
CSF0000000076,中**信*务**有公司,"建筑、农用机械与重型卡车-农业机械-农机具及其零部件,轮胎与橡胶-轮胎-工程轮胎,汽车"
CSF0000000077,中*电子***技*公司,"建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,商品化工-橡胶,轮胎与橡胶-轮胎,建筑、农用机械与重型卡车"
CSF0000000078,新*基*公司,消闲用品-自行车
CSF0000000079,中*海*港**公司,"建筑、农用机械与重型卡车-工程机械-工业车辆,保险,建筑、农用机械与重型卡车-农业机械-农机具及其零部件,商业服务"
CSF0000000080,天臣控**公司,"化工商品贸易,建筑、农用机械与重型卡车,保险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品"
CSF0000000081,广***团*有公司,"建筑、农用机械与重型卡车-农业机械,建筑、农用机械与重型卡车-工程机械-起重装卸机械"
CSF0000000082,中*资*控**公司,石油与天然气-石油与天然气的炼制和营销
CSF0000000083,上置*团*公司,"建筑、农用机械与重型卡车-农业机械,汽车,建筑、农用机械与重型卡车-农业机械-农机具及其零部件,轮胎与橡胶-轮胎,轮胎与橡胶-轮胎-斜交轮胎"
CSF0000000084,伟禄*团***公司,"商业服务-综合支持服务-加工劳务-轮胎分装,汽车-摩托车制造-三轮摩托车,建筑、农用机械与重型卡车-工程机械-混凝土机械"
CSF0000000085,力*科**团*公司,"轮胎与橡胶-轮胎,轮胎与橡胶-轮胎"
CSF0000000086,银***控股**有公司,"建筑、农用机械与重型卡车,建筑、农用机械与重型卡车-农业机械-农机具及其零部件"
CSF0000000087,嘉华***团*公司,"建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,汽车,轮胎与橡胶-轮胎,建筑、农用机械与重型卡车"
CSF0000000088,莎*国际***公司,"轮胎与橡胶,建筑、农用机械与重型卡车-农业机械,汽车,建筑、农用机械与重型卡车-农业机械-农机具及其零部件,建筑、农用机械与重型卡车-农业机械"
CSF0000000089,华显光****股*公司,"汽车-摩托车制造-二轮摩托车,建筑、农用机械与重型卡车"
CSF0000000090,华宝****有公司,"建筑、农用机械与重型卡车-工程机械-混凝土机械,建筑、农用机械与重型卡车-机场服务设备-机场专用车辆,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-收割机,建筑、农用机械与重型卡车-港口机械"
CSF0000000091,金*商**团*公司,建筑、农用机械与重型卡车-工程机械
CSF0000000092,远****股有公司,化工商品贸易
CSF0000000093,永*国*有公司,"石油与天然气-石油与天然气的炼制和营销,轮胎与橡胶-轮胎,石油与天然气,机动车贸易,轮胎与橡胶"
CSF0000000094,华**酒*控*）*公司,"商业服务-综合支持服务,汽车-摩托车制造-二轮摩托车,轮胎与橡胶-轮胎"
CSF0000000095,江*控股*公司,"建筑、农用机械与重型卡车,汽车-汽车制造,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆-拖拉机,建筑、农用机械与重型卡车-农业机械,机动车贸易"
CSF0000000096,中**力科***有公司,"汽车-摩托车制造-二轮摩托车,建筑、农用机械与重型卡车,机动车贸易-汽车贸易,轮胎与橡胶"
CSF0000000097,万威国**公司,商业服务-综合支持服务
CSF0000000098,国***结*控*有公司,"建筑、农用机械与重型卡车,化工商品贸易-化工产品贸易-橡塑制品贸易,轮胎与橡胶"
CSF0000000099,中国*产**易*公司,"轮胎与橡胶-轮胎-斜交轮胎,机动车贸易,汽车"
CSF0000000100,深**际控**公司,"建筑、农用机械与重型卡车-农业机械,汽车-汽车制造,轮胎与橡胶-轮胎,建筑、农用机械与重型卡车-工程机械-筑养路机械"
